iter	Passed	Remaining
0	156	31085
1	162	16063
2	166	10936
3	170	8351
4	174	6817
5	178	5779
6	182	5035
7	189	4558
8	196	4163
9	202	3853
10	208	3576
11	214	3354
12	220	3173
13	229	3043
14	240	2961
15	247	2844
16	251	2711
17	255	2588
18	259	2475
19	263	2373
20	269	2299
21	283	2291
22	289	2227
23	292	2147
24	296	2073
25	299	2001
26	302	1939
27	308	1894
28	315	1863
29	325	1846
30	333	1819
31	336	1766
32	339	1717
33	343	1678
34	347	1637
35	354	1612
36	361	1594
37	366	1561
38	372	1536
39	377	1508
40	380	1476
41	384	1448
42	391	1429
43	415	1473
44	422	1454
45	426	1428
46	429	1399
47	432	1371
48	436	1344
49	439	1319
50	445	1300
51	451	1283
52	463	1286
53	470	1270
54	474	1250
55	477	1226
56	480	1205
57	484	1185
58	488	1167
59	492	1149
60	498	1136
61	505	1124
62	509	1108
63	515	1095
64	520	1080
65	523	1062
66	527	1046
67	532	1033
68	542	1030
69	553	1027
70	558	1014
71	562	1000
72	566	984
73	569	969
74	572	954
75	578	944
76	584	933
77	592	927
78	601	920
79	607	911
80	612	899
81	617	889
82	624	880
83	631	872
84	644	871
85	650	862
86	659	856
87	665	846
88	679	847
89	692	846
90	701	840
91	706	829
92	712	819
93	722	814
94	739	816
95	747	809
96	752	798
97	758	789
98	765	780
99	771	771
100	781	765
101	792	761
102	796	750
103	800	739
104	805	728
105	812	720
106	824	716
107	831	708
108	835	697
109	854	699
110	861	690
111	874	686
112	881	678
113	885	667
114	890	658
115	895	648
116	898	637
117	902	627
118	907	617
119	923	615
120	928	606
121	934	597
122	938	587
123	941	576
124	945	567
125	949	557
126	955	549
127	962	541
128	971	534
129	981	528
130	989	521
131	996	513
132	1015	511
133	1028	506
134	1033	497
135	1036	487
136	1043	479
137	1050	471
138	1069	469
139	1078	462
140	1083	453
141	1088	444
142	1094	436
143	1102	428
144	1112	421
145	1119	413
146	1123	405
147	1127	396
148	1129	386
149	1135	378
150	1139	369
151	1151	363
152	1156	355
153	1160	346
154	1163	337
155	1166	329
156	1170	320
157	1173	312
158	1181	304
159	1189	297
160	1193	289
161	1197	280
162	1201	272
163	1204	264
164	1207	256
165	1210	247
166	1216	240
167	1223	233
168	1233	226
169	1238	218
170	1243	210
171	1247	203
172	1249	195
173	1252	187
174	1256	179
175	1260	171
176	1264	164
177	1268	156
178	1274	149
179	1278	142
180	1282	134
181	1289	127
182	1292	120
183	1295	112
184	1297	105
185	1302	98
186	1306	90
187	1314	83
188	1319	76
189	1324	69
190	1328	62
191	1330	55
192	1334	48
193	1337	41
194	1341	34
195	1344	27
196	1349	20
197	1354	13
198	1361	6
199	1366	0
